package,risk,reason
app.phantom,LOW,No notable signals
cn.wps.moffice_eng,LOW,No notable signals
cn.wps.xiaomi.abroad.lite,LOW,No notable signals
com.ahmadeyamin.netis,LOW,No notable signals
com.appsomniacs.da2,LOW,No notable signals
com.arena.banglalinkmela.app,LOW,No notable signals
com.arogga.app,LOW,No notable signals
com.bKash.customerapp,LOW,No notable signals
com.bestwallet.mobile,LOW,No notable signals
com.bigwinepot.nwdn.international,LOW,No notable signals
com.binance.dev,LOW,No notable signals
com.bitget.exchange,LOW,No notable signals
com.bitkeep.wallet,LOW,No notable signals
com.bitmart.bitmarket,LOW,No notable signals
com.blockchainvault,LOW,No notable signals
com.btcc.hy,LOW,No notable signals
com.bybit.app,LOW,No notable signals
com.camerasideas.instashot,LOW,No notable signals
com.canva.editor,LOW,No notable signals
com.coinmarketcap.android,LOW,No notable signals
com.csgroup.texteditor,LOW,No notable signals
com.cv.docscanner,LOW,No notable signals
com.dolby.dolby234,LOW,No notable signals
com.duokan.phone.remotecontroller,LOW,No notable signals
com.facebook.katana,LOW,No notable signals
com.facebook.lite,LOW,No notable signals
com.facebook.orca,LOW,No notable signals
com.gateio.gateio,LOW,No notable signals
com.hdobox,LOW,No notable signals
com.hosting.hosting,LOW,No notable signals
com.imo.android.imoim,LOW,No notable signals
com.instagram.android,LOW,No notable signals
com.ivuu,LOW,No notable signals
com.kubi.kucoin,LOW,No notable signals
com.ludo.king,LOW,No notable signals
com.medexplus.digitalitsheba.app,LOW,No notable signals
com.mediaon.apt,LOW,No notable signals
com.mexcpro.client,LOW,No notable signals
com.microsoft.copilot,LOW,No notable signals
com.miui.mediaeditor,LOW,No notable signals
com.mxtech.videoplayer.pro,LOW,No notable signals
com.niksoftware.snapseed,LOW,No notable signals
com.openai.chatgpt,LOW,No notable signals
com.overlook.android.fing,LOW,No notable signals
com.pathao.user,LOW,No notable signals
com.pentabit.long.screenshot.capture.full.screen,LOW,No notable signals
com.picsart.studio,LOW,No notable signals
com.replit.app,LOW,No notable signals
com.rhmsoft.code,LOW,No notable signals
com.superchain.lbankgoogle,LOW,No notable signals
com.tenda.router.app,LOW,No notable signals
com.termux,LOW,No notable signals
com.ton_keeper,LOW,No notable signals
com.tos.namajtime,LOW,No notable signals
com.twitter.android,LOW,No notable signals
com.wake.weexprd,LOW,No notable signals
com.wallet.crypto.trustapp,LOW,No notable signals
com.whatsapp,LOW,No notable signals
com.xt.retouchoversea,LOW,No notable signals
com.zhiliaoapp.musically,LOW,No notable signals
dnsfilter.android,LOW,No notable signals
free.vpn.unblock.proxy.turbovpn.lite,LOW,No notable signals
idm.internet.download.manager.plus,LOW,No notable signals
io.metamask,LOW,No notable signals
mark.via.gp,LOW,No notable signals
net.omobio.robisc,LOW,No notable signals
net.xnano.android.photoexifeditor,LOW,No notable signals
org.telegram.messenger,LOW,No notable signals
pi.browser,LOW,No notable signals
ru.zdevs.zarchiver,LOW,No notable signals
site.mises.browser,LOW,No notable signals
teletalk.teletalkcustomerapp,LOW,No notable signals
